id,s_group_id,m_group_id,w_group_id,is_core_row
575309,,,,
575264,str_20,med_30,,1
575234,,med_34,,1
575422,,med_30,,
575399,,,,
575286,str_20,med_30,,
575214,,med_30,,
575248,,med_34,,
595688,,,,
594751,,,,
594744,,,,
586645,,,,
594224,,,,
578685,,,,
578696,,,,
594026,,,,
594034,,,,
577885,,,,
583218,,,,
588285,,,,
588274,,,,
587351,,,,
576732,,,,
592562,,,,
593356,,,,
592164,,,,
593386,,,,
592414,,,,
594603,,,,
590663,,,,
581227,,,,
582920,,,,
579479,,,,
587045,,,,
587041,,,,
593801,,,,
582651,,,,
582653,,,,
582649,,,,
587500,,,,
590497,,,,
596232,,,,
593790,,,,
593862,,,,
593846,,,,
584081,,,,
595672,,,,
577677,,,,
585697,,,,
585500,,,,
578161,,,,
578118,,,,
588259,,,,
579682,,,weak_195,
579695,,,,
579636,,,,
579653,,,,
586204,,,,
579642,,,,
579664,,,,
579623,,,,
579677,,,weak_195,1
579614,,,,
586123,,,,
586102,,,,
586074,,,,
585210,,,,
588767,,,,
577898,,,,
581271,,,,
581317,,,,
581296,,,,
581508,,,,
590593,,,weak_363,1
590584,,,,
593516,,,,
593501,,,,
580175,,,,
580105,,,,
596099,,,,
576717,,,,
589557,,,,
589677,,,,
589797,,med_31,,
592474,,,,
591463,,,,
583151,,med_35,,1
583195,,,weak_145,
581213,,,,
581210,,,,
575581,,,,
595441,,,,
586752,,,weak_312,
586771,,,weak_362,1
586793,,,weak_362,1
581488,,,weak_145,1
581496,,med_35,,
581239,,,,
581268,,,,
575721,,,,
584110,,,,
595348,,,,
586777,,,weak_36,
586753,,,weak_36,1
588794,,,,
584041,,,,
579693,,,,
580684,,,,
594546,,med_37,weak_217,1
593962,,,weak_217,1
594063,,med_37,,
591420,,,,
581165,,,,
583985,,,,
583753,,,,
587965,,,,
582732,,,,
580589,,,,
579922,,,,
582842,,,,
580124,,,,
592611,,,,
577622,,,,
586998,,,,
580451,,,,
584418,,,,
593914,,,,
588505,str_21,med_36,,1
585603,,med_36,,
587847,str_21,med_36,,
585624,,,,
594627,,,,
588231,,,,
579692,,,,
581947,,,,
588845,,,,
590564,,,,
591115,,,,
591105,,,,
582750,,,,
584334,,,,
584329,,,,
586084,,,,
579156,,,,
580453,,,,
580434,,,weak_203,
583678,,,weak_203,1
576706,,,,
595616,,,,
595476,,,,
595469,,,,
595466,,,,
595437,,,,
575604,,med_39,,1
575638,,med_39,,
580728,,,,
588593,,,,
585432,,,,
586917,,,,
576884,,,,
593677,,,,
593640,,med_38,,1
593659,,med_38,,
592630,,,,
592609,,,,
594754,,,,
593918,,,,
596444,,,,
578408,,,,
579508,,,,
583294,,,,
577717,,,,
588915,,,,
586386,,,,
591523,,,,
591532,,,,
578541,,,,
578378,,,,
578388,,,,
594508,,,,
580344,,,,
595011,,,,
582826,,,,
576840,,,,
576600,,,,
575558,,,,
587250,,,,
587456,,,,
587376,,,,
585546,,,,
595631,,,,
585956,,,,
595183,,,,
584404,str_22,med_40,,1
584299,str_22,med_40,,
578475,,,,
592457,,,,
581278,,,,
575743,,,,
580880,,,,
576777,,,,
592838,,,,
594206,,,,
584671,,,,
592827,,,,
594196,,,,
592539,,,,
590402,,,,
593753,,,,
580075,,,,
588538,,med_41,,1
585830,,,,
588450,,med_41,,
593435,,,,
575811,,,,
593248,,,,
592992,,,,
582911,,,,
581064,,,,
582924,,,,
589239,,,,
587722,,,weak_328,
584106,,,,
587628,,,,
587019,,,,
587018,,,,
585340,,,,
587721,,,weak_328,1
593257,,,,
593255,,,,
582201,,,weak_387,
579142,,,weak_387,1
585040,,,,
576042,,,,
585423,,,,
585034,str_23,med_42,weak_89,1
584940,str_23,med_42,,
584306,,,,
589887,,,,
584117,,,weak_89,1
595396,,,,
578771,,,,
594881,,,,
594834,,,,
582396,str_24,med_43,,1
582985,str_24,med_43,,
577662,,,,
577657,,,,
587263,,,weak_283,
585028,,,weak_283,1
582295,,,,
593556,,,,
578165,,,,
582513,str_25,med_44,weak_129,1
583605,str_25,med_44,,
585090,,,,
580775,,,,
589941,,,,
582113,,,,
584339,,,,
584208,,,,
576907,,,weak_129,1
586669,,,,
587022,,,,
580556,,med_52,,1
575976,,med_52,,
580048,,,,
579260,,,,
579183,,,,
579368,,,,
592187,,,,
579005,,,,
590074,,med_53,,1
590086,str_26,med_53,,1
590080,str_26,med_45,,
578331,,,,
579138,,,,
580045,,,,
582501,str_28,med_47,,1
582249,str_27,med_46,,1
582751,str_27,med_46,,
583190,str_28,med_47,,
578807,str_29,med_48,,1
581729,str_29,med_48,,
582316,str_30,med_49,,1
576628,str_30,med_49,,
576413,,,,
576977,,,,
589645,,,,
576398,,,,
588726,str_31,med_50,,1
592920,str_31,med_50,,
592922,str_32,med_51,,1
591937,str_31,med_50,,
591948,str_32,med_51,,
594940,str_32,med_51,,
594927,str_31,med_50,,
588734,str_32,med_51,,
579312,,,,
579085,,,,
584145,,,,
575272,,,,
587205,,,,
584971,,,,
582019,,,,
582947,,,,
591131,,,,
591155,,,,
591147,,,,
577697,,,,
578123,,,,
581490,,,,
596388,,,,
576829,,,,
577382,,,,
579253,,,,
582218,,,,
586923,,,,
591331,,,,
582938,,,,
576848,,,,
582132,,,,
590492,,med_55,,1
590493,,med_55,,
578661,,,,
579367,,,,
584617,,,,
582803,,,,
575231,,,,
582970,,,,
587204,str_33,med_54,,1
587199,str_33,med_54,,
581910,,,,
591391,,,,
591382,,,,
586575,,,,
588392,,,,
588329,,,,
584621,,,,
595235,,,,
582811,,,weak_17,
582787,,,,
582771,,,weak_17,1
576190,,,,
575988,,,,
582838,,,,
582757,,,,
582608,,,,
583968,,med_56,,1
585712,,,,
589458,,,,
576417,,,,
577384,,,,
583171,,,,
575218,,,,
591142,,,,
583967,,med_56,,
590415,,,,
594892,,,,
575614,str_34,med_57,,1
575617,,med_57,,
575629,str_34,med_57,,
589789,,,,
591252,,,,
590457,,,,
593017,,,,
596254,,,,
592221,,,,
576487,,,,
589606,str_35,med_58,,1
589611,,,,
588625,str_35,med_58,,
588948,,,,
593667,,,,
593844,,,,
593804,,,,
583161,,,,
576154,,,,
586914,,,,
594561,,,,
590881,,,,
591116,,,,
596236,,,,
582388,,,weak_279,
582403,,,weak_178,
582992,,,weak_279,1
582973,,,weak_178,1
593580,,,,
591511,,,,
595161,,,,
576654,,,,
586353,,,,
587707,,,weak_245,
579789,,,,
591731,,,,
592203,,,,
